,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
f,ang,-7.35494739099,-7.8057020814,3.00631505585,-13.0341236039,-18.75777015,8.79244112429,-11.3071065682,-11.5840655036,-17.8733721397,-7.60542476564,38.741684193,0.621276154259,-4.68281561029,2.40540859985,-18.616791161,-11.2159894275,-11.366503437,10.950412169,4.78429951504,28.2713904202,12.8647892929,18.4676533477,25.6712359984,-5.59534533427,-6.68040126983,-12.3628586604,45.0868947438,-3.52795507144,4.44299183027,77.2277347323,37.5002202608,-17.0326511873,-18.001298975,-11.0635489978,51.6605198626,-1.91377262275,-18.9084718106,-1.29297753462,-9.85497903556,-20.863736026,-18.816325783,-19.2188306958,-8.63676208086,-7.56424746293,-14.4871804625,-13.0658456758,-12.5556114615,-7.84785531316
f,dis,-18.041983217,3.93781191077,-22.8377640651,-15.128120922,-13.7006821082,-22.0434485685,-12.6488026606,-1.70443641809,-13.6203295526,-18.1424412848,-9.51632113952,4.59899789862,-1.10721489706,6.89773145014,9.6869282743,-3.05675987134,-16.1880433543,-2.42228528165,-6.73354307419,-2.59478534257,1.70593940892,84.3767516595,100.801658765,-10.6577491996,-21.0816377898,-16.2428378939,-34.2120288581,-4.97015506661,-16.7049386297,108.099013911,135.119256634,0.854223859132,-21.7931953512,-19.4861289242,-21.5094434243,1.21898411372,-16.4766967706,2.23294689271,-10.6816312888,6.62935090557,-0.504314575943,-14.8049574959,-10.3643585933,-25.697650299,-10.2335834333,-7.72436844702,-15.5477293902,-7.97922849471
f,fea,10.1956123235,-10.9883351924,-15.3788106623,-4.28231108203,-2.61406495689,-35.2345599963,-17.069579103,6.19909224675,-3.94653866664,8.08516995767,86.2068506411,-19.1934721722,-28.581905691,2.56341244339,-18.4149764705,-8.45305708263,-7.78073104229,-3.06323417921,-9.66707044681,-9.74747203327,-17.8322526015,19.944842477,48.0627102194,-34.231355754,-2.30495029746,15.5502388261,6.27739803665,-7.6782567027,-0.643988682557,107.042096191,15.5831830758,-11.3914568091,-28.8531703466,5.48047337109,106.283974746,4.95336152827,-5.98293557456,-25.0164412454,-14.9579412935,-23.4232066996,11.4413458101,-21.1237242878,-18.351738949,-6.54594477799,-2.92367583517,-17.097609605,5.543373212,-26.6383668656
f,hap,-5.77788609587,-12.4698278671,-5.6744655763,-0.271513414776,-13.0492656595,-9.01219158115,-13.5535717983,-13.9737231341,-9.40442463297,-9.61595817,2.24423488461,-11.4253914939,5.51086294494,60.2924219564,-0.23415756856,-9.70361539746,-10.783913776,-8.21390884738,-0.366006662805,-8.00588831885,-0.299748714233,54.4845992562,16.4021208978,-15.2293066048,-20.5679302672,-3.12058324493,-5.91991059711,-11.7589694839,-2.17155062825,67.8702831299,3.81013278219,-18.9637801228,-1.79228498875,-8.32977039649,12.7060326894,6.31535684874,14.3709159772,53.4921592453,-11.3644916241,-15.7522952203,4.27027231435,3.03707197283,0.102658602687,-12.4951540877,-5.79364239281,0.0822874386342,-15.0621334472,-14.8341491256
f,ntr,-8.95466606812,-4.62465236296,12.4429486385,-6.28446781702,-1.68717620786,-2.29568081144,-12.1471129063,-18.8064008564,-14.5100648392,-1.80442655457,57.6332890895,-20.9773642469,-3.79685686036,36.6936621605,-4.36915442799,-3.34033018624,-10.7240210361,6.49816278819,4.31453459896,-20.1715302762,-7.43768342178,33.1337620917,56.0705588994,-31.2947212117,-10.3423485126,-9.8718869315,-16.8586164975,8.5473328449,17.8197984019,4.38409540831,27.1319331505,-13.1713306462,1.50210813607,-0.715810124064,91.0609515044,0.747890837102,0.511342025944,-28.9995335822,-12.1661918285,-12.4515901321,-20.105984608,1.6821824709,-0.641652910895,-19.0106364285,-17.4810342914,-10.1776324229,-7.32235799202,-7.63163604717
f,sad,31.7369292193,-18.446084145,-0.598244985059,-22.5736075415,-9.58926776181,-5.16440986091,-24.3232793739,-10.2994279658,4.5289176448,-18.7635490707,3.74183000188,10.3168112829,-35.0597961475,5.9227673345,11.2704987936,-26.3360994776,3.56309721722,8.93211765512,4.52782754789,-11.6663318043,-11.3521834377,13.9394962862,-16.9183249396,5.35736031753,-0.324169027399,83.8306706005,71.5857431674,-7.91406679597,10.4074563058,30.0086006784,-31.5932864623,-13.3062341954,-1.62385024666,22.6432557668,104.076658328,15.1003952827,-31.8377517791,-13.5870494178,-14.9869458839,-4.85944943244,-12.7763568858,13.2846402896,4.30604384741,-14.7792780985,-8.50219245082,-29.3432183964,-25.1569031959,-37.399758788
f,sup,-19.1623428608,2.4345931027,-19.0366653429,-15.4553866417,7.60221561073,-21.7418322622,-7.97226959291,-9.2733235194,-0.174529452826,-5.81613123773,24.494959653,-0.241915721576,-15.2881158811,-7.24007944641,11.478877982,-15.5674264178,-16.8291689762,-6.1613937445,-10.6393147728,-22.9191725306,4.51431775537,84.6391072714,40.4943513982,-3.96450389775,-14.40969314,-15.5340373436,18.4486134769,-10.0358327201,-17.285551523,70.7660040747,57.2998203788,12.2092053288,-2.95549597929,-17.8363325464,50.4854454877,-9.10204406373,-6.53214336496,-12.0067834301,-6.84107028255,-10.7641720595,-12.4773391886,-18.4673391892,2.79347271392,-10.6291821943,-3.19458867774,-8.70651435637,-7.78598107371,-5.61331080206
m,ang,-17.6630583423,-7.64956955077,2.52451612604,-10.9062884775,-2.92905575918,-13.7794407657,-14.2680436438,-41.7357636647,-7.9030675083,-11.0831803651,112.432563791,6.02509892805,-13.8260487673,2.00885371125,-35.0893462025,-15.4280370242,-20.6169047006,-8.50467267746,109.390032434,21.1366866128,-15.9287110081,52.2554554387,25.6871652877,-8.63457221866,10.4624369658,-7.20320656711,71.6855656744,-10.0135972593,-15.1985231178,35.8467165817,35.1008701168,-27.6469136725,-28.6046838738,-33.0552568385,30.175350341,-15.991809191,-12.0638630736,-20.2939223138,-34.5096978003,-0.984792349325,1.02101242518,-11.059039553,0.894651382871,-9.9155665469,-0.494703988018,-20.3654556618,-12.9533858027,-10.3467975318
m,dis,-18.4822779172,0.282525228407,-5.94400475475,0.979984068416,-19.1519191201,-5.69663729193,-6.78103250048,-15.7612451196,-7.38082769926,-4.88968088986,-17.1844740981,-14.6388704857,-2.20743341339,-14.4389028473,5.48543797918,14.0174104012,-6.99919521496,-24.2343628177,-7.07583078734,-8.34219972241,-10.5606507784,76.9438984512,88.2029097573,1.12972969983,-12.3642430096,-2.08766275633,-7.96063237434,-10.7455528094,-5.45923993428,90.5659150261,66.0341902738,-11.2512598087,-22.9968913642,-1.93032009082,-7.83176892807,0.697307161796,-26.037137659,7.91094598624,-12.6898302406,21.3952652223,-31.6704901218,-15.1892205996,-11.4503393209,-0.126009529327,-23.3355288399,-4.78525072103,-3.548538754,27.5839430645
m,fea,-10.0998724726,-25.4095405245,-5.96444336804,-14.8400344631,-3.72144581378,-14.3818790068,-0.5180632965,-3.90547573863,0.69383398696,-8.29849248244,75.7182278882,0.521189797132,-21.6173846009,4.91764653537,14.1972424696,16.0564154314,-39.3609878854,3.00917102959,14.9984430094,-12.7832173963,-14.2037329683,41.939786866,25.4340831549,-25.7104209231,-13.1114115917,-23.7180805099,52.6552792115,-5.27682089221,-15.8600512104,21.6647013637,31.4246566138,-17.3439763631,-0.0325619106065,-15.8501021534,114.314228347,3.45194159663,6.32391583966,-20.3387681699,16.3960382747,-9.1561647328,-9.4820916026,-34.2115547827,1.51372153111,-16.699007989,-14.5415427524,-8.51855245623,-27.9944946714,-12.2803502182
m,hap,-4.65985193532,-20.6856012775,-4.23977897996,-7.55664374904,-13.6444428673,-8.1531458411,-2.69787845841,-15.8178213652,-12.2456089998,-12.1442999945,19.1543881032,3.80002736501,11.0596091918,46.0741499316,-3.30911531469,-13.8609710442,-18.0597915145,-18.4621717934,-5.46457933211,-4.21456932836,5.37272333853,58.5823969041,3.46536740489,-15.3225163677,-9.32497453716,-21.1230464498,-4.48562724064,-0.368592356938,-8.31606008357,68.9592041449,25.7787191354,-2.20151957901,-18.5231675126,-16.3107423942,1.74352343686,-4.05764343306,11.8251792994,70.3113428569,5.27162384576,-17.9961687797,-2.73567804573,-2.69445140118,-6.42558622381,-0.888635742231,-7.11364667427,-2.11274115981,-15.202954701,-10.9782304806
m,ntr,-16.3667205191,-10.2372361609,-5.7283426562,-16.1530670628,-4.21363183743,10.9067158784,-9.75117885646,8.24635789655,0.778721871862,1.34041470841,17.8641534602,-18.7699811296,-6.8731848072,54.5836640274,-6.19422216472,-15.7623711521,-15.7517457146,-2.10290368774,6.61772349666,-8.97306421733,24.875007338,33.4420574201,5.88942146485,-2.0321982237,-14.9003905218,-2.26700102739,2.24112174618,0.302697681087,12.9864743168,39.9722388624,28.8788159303,1.72019841198,-20.7534052991,-28.5211180466,12.4394563743,-10.6126879396,-5.73766897287,11.7989295153,5.92248512752,-10.8812953119,-25.989944173,-11.1839087406,11.6702375905,-15.8175332445,4.41742698611,-10.8208766966,-7.71448710973,7.21584516879
m,sad,-13.9384096459,-11.9389440845,-17.7954510027,-37.3818132828,-9.65442526668,-12.7750002216,-16.7163715691,-19.6355035227,-19.5523008855,-7.86931579874,18.2034877762,3.01625345158,-1.13702352645,12.4264785211,-6.53900261954,6.0528903154,-23.8206982377,11.6648723011,-3.16421644685,-5.0214924874,20.8766837403,-10.5986873329,9.05062958907,-8.43705059414,-20.8633380936,50.097087514,24.7885888554,47.6547554093,-24.5305340541,15.3297859461,37.218295929,-8.07854345016,-35.3187261468,-4.03845514418,178.326269902,38.1213936717,-31.4520522952,-33.0941490681,-46.6354871381,9.25465340344,-15.4988803443,-22.7628402999,-1.88344483247,-2.27132008182,-5.4022932505,4.5715999399,-10.1547907323,1.3068351913
m,sup,-6.66378120766,-11.9524867069,3.3281541597,-2.85451546595,-3.97619260532,-22.9300987831,-19.4721212452,-15.6489558737,-1.3506234358,-1.77280315983,55.0156820029,-16.820610119,-5.62116652025,-10.271318773,-13.1546752143,-5.77115065113,11.5876912099,8.25053216738,16.9029000931,-24.670603959,12.2460454456,47.576408951,32.2513791894,-10.818275872,2.92435991157,-1.58585928469,19.9042375641,-13.096919259,-7.08756039068,78.9546836792,17.8906132705,-18.3050833614,15.2220235555,-9.95552011147,54.1203856544,-16.8702222652,-4.36105761961,-16.5806315268,1.89767070745,-20.8998963832,-20.7282158816,-0.630845966541,-11.2782621029,-4.41202908484,-15.7145772171,-18.7940303749,-12.1605472698,-11.8621298699
